"";"Name";"Team";"Position";"height";"weight";"Age"
"107";"Kevin_Youkilis";"BOS";"First_Baseman";73;220;27,96
"108";"Dustin_Pedroia";"BOS";"Second_Baseman";69;180;23,54
"109";"Alex_Cora";"BOS";"Shortstop";72;180;31,37
"110";"Julio_Lugo";"BOS";"Shortstop";73;170;31,29
"111";"Mike_Lowell";"BOS";"Third_Baseman";75;210;33,01
"112";"Wily_Mo_Pe?a";"BOS";"Outfielder";75;215;25,1
"113";"J.D._Drew";"BOS";"Outfielder";73;200;31,28
"114";"Manny_Ramirez";"BOS";"Outfielder";72;213;34,75
"115";"Brandon_Moss";"BOS";"Outfielder";72;180;23,46
"116";"David_Murphy";"BOS";"Outfielder";76;192;25,37
"117";"Eric_Hinske";"BOS";"Outfielder";74;235;29,57
"118";"Coco_Crisp";"BOS";"Outfielder";72;185;27,33
"119";"David_Ortiz";"BOS";"Designated_Hitter";76;230;31,28
"120";"Curt_Schilling";"BOS";"Starting_Pitcher";77;235;40,29
"121";"Tim_Wakefield";"BOS";"Starting_Pitcher";74;210;40,58
"122";"Josh_Beckett";"BOS";"Starting_Pitcher";77;222;26,79
"123";"Matt_Clement";"BOS";"Starting_Pitcher";75;210;32,55
"124";"Jonathan_Papelbon";"BOS";"Starting_Pitcher";76;230;26,27
"125";"Kyle_Snyder";"BOS";"Starting_Pitcher";80;220;29,47
"126";"Devern_Hansack";"BOS";"Starting_Pitcher";74;180;29,07
"127";"Jon_Lester";"BOS";"Starting_Pitcher";74;190;23,15
"128";"Kason_Gabbard";"BOS";"Starting_Pitcher";75;200;24,9
"129";"Craig_Hansen";"BOS";"Relief_Pitcher";78;210;23,29
"130";"Hideki_Okajima";"BOS";"Relief_Pitcher";73;194;31,18
"131";"Craig_Breslow";"BOS";"Relief_Pitcher";73;180;26,56
"132";"Manny_Delcarmen";"BOS";"Relief_Pitcher";74;190;25,03
"133";"Brendan_Donnelly";"BOS";"Relief_Pitcher";75;240;35,66
"134";"Javier_Lopez";"BOS";"Relief_Pitcher";76;200;29,64
"135";"J.C._Romero";"BOS";"Relief_Pitcher";71;198;30,74
"136";"Joel_Pineiro";"BOS";"Relief_Pitcher";73;200;28,43
"137";"Julian_Tavarez";"BOS";"Relief_Pitcher";74;195;33,77
"138";"Mike_Timlin";"BOS";"Relief_Pitcher";76;210;40,97
"139";"Nick_DeBarr";"BOS";"Relief_Pitcher";76;220;23,52
"140";"Victor_Martinez";"CLE";"Catcher";74;190;28,19
"141";"Kelly_Shoppach";"CLE";"Catcher";73;210;26,84
"142";"Ryan_Garko";"CLE";"First_Baseman";74;225;26,16
"143";"Joe_Inglett";"CLE";"Second_Baseman";70;180;28,67
"144";"Josh_Barfield";"CLE";"Second_Baseman";72;185;24,2
"145";"Hector_Luna";"CLE";"Second_Baseman";73;170;27,08
"146";"Jhonny_Peralta";"CLE";"Shortstop";73;185;24,76
"147";"Andy_Marte";"CLE";"Third_Baseman";73;185;23,36
"148";"Ben_Francisco";"CLE";"Outfielder";73;180;25,35
"149";"Shin-Soo_Choo";"CLE";"Outfielder";71;178;24,63
"150";"Franklin_Gutierrez";"CLE";"Outfielder";74;175;24,02
"151";"Grady_Sizemore";"CLE";"Outfielder";74;200;24,58
"152";"Jason_Michaels";"CLE";"Outfielder";72;204;30,82
"153";"Trot_Nixon";"CLE";"Outfielder";74;211;32,89
"154";"David_Dellucci";"CLE";"Outfielder";71;190;33,33
"155";"Casey_Blake";"CLE";"Outfielder";74;210;33,52
"156";"Travis_Hafner";"CLE";"Designated_Hitter";75;240;29,74
"157";"Paul_Byrd";"CLE";"Starting_Pitcher";73;190;36,24
"158";"Cliff_Lee";"CLE";"Starting_Pitcher";75;190;28,5
"159";"Jake_Westbrook";"CLE";"Starting_Pitcher";75;185;29,42
"160";"C.C._Sabathia";"CLE";"Starting_Pitcher";79;290;26,61
"161";"Jeremy_Sowers";"CLE";"Starting_Pitcher";73;175;23,79
"162";"Rafael_Perez";"CLE";"Relief_Pitcher";75;185;24,96
"163";"Brian_Slocum";"CLE";"Relief_Pitcher";76;200;25,93
"164";"Edward_Mujica";"CLE";"Relief_Pitcher";74;220;22,81
"165";"Fernando_Cabrera";"CLE";"Relief_Pitcher";76;170;25,29
"166";"Tom_Mastny";"CLE";"Relief_Pitcher";78;220;26,07
"167";"Juan_Lara";"CLE";"Relief_Pitcher";74;190;26,09
"168";"Fausto_Carmona";"CLE";"Relief_Pitcher";76;220;23,23
"169";"Aaron_Fultz";"CLE";"Relief_Pitcher";72;205;33,49
"170";"Rafael_Betancourt";"CLE";"Relief_Pitcher";74;200;31,84
"171";"Roberto_Hernandez";"CLE";"Relief_Pitcher";76;250;42,3
"172";"Joe_Borowski";"CLE";"Relief_Pitcher";74;225;35,82
"173";"Matt_Miller";"CLE";"Relief_Pitcher";75;215;35,27
"174";"Jason_Davis";"CLE";"Relief_Pitcher";78;210;26,81
"175";"Mike_Piazza";"OAK";"Catcher";75;215;38,49
"176";"Jason_Kendall";"OAK";"Catcher";72;195;32,68
"177";"Adam_Melhuse";"OAK";"Catcher";74;200;34,93
"178";"Nick_Swisher";"OAK";"First_Baseman";72;194;26,26
"179";"Dan_Johnson";"OAK";"First_Baseman";74;220;27,56
"180";"Donald_Murphy";"OAK";"Second_Baseman";70;180;23,98
"181";"Mark_Ellis";"OAK";"Second_Baseman";71;180;29,73
"182";"Marco_Scutaro";"OAK";"Shortstop";70;170;31,33
"183";"Bobby_Crosby";"OAK";"Shortstop";75;195;27,13
"184";"Mark_Kiger";"OAK";"Shortstop";71;180;26,75
"185";"Antonio_Perez";"OAK";"Third_Baseman";71;170;27,09
"186";"Eric_Chavez";"OAK";"Third_Baseman";73;206;29,23
"187";"Milton_Bradley";"OAK";"Outfielder";72;205;28,88
"188";"Shannon_Stewart";"OAK";"Outfielder";71;200;33,01
"189";"Bobby_Kielty";"OAK";"Outfielder";73;225;30,57
"190";"Mark_Kotsay";"OAK";"Outfielder";72;201;31,24
"191";"Ryan_Goleski";"OAK";"Outfielder";75;225;24,95
"192";"Jeremy_Brown";"OAK";"Designated_Hitter";70;226;27,35
"193";"Jason_Windsor";"OAK";"Starting_Pitcher";74;233;24,62
"194";"David_Shafer";"OAK";"Starting_Pitcher";74;180;24,98
"195";"Joe_Blanton";"OAK";"Starting_Pitcher";75;225;26,22
"196";"Brad_Halsey";"OAK";"Starting_Pitcher";73;180;26,04
"197";"Dan_Haren";"OAK";"Starting_Pitcher";77;220;26,45
"198";"Rich_Harden";"OAK";"Starting_Pitcher";73;180;25,25
"199";"Joe_Kennedy";"OAK";"Starting_Pitcher";76;237;27,77
"200";"Esteban_Loaiza";"OAK";"Starting_Pitcher";75;215;35,16
"201";"Alan_Embree";"OAK";"Relief_Pitcher";74;190;37,1
"202";"Jay_Witasick";"OAK";"Relief_Pitcher";76;235;34,51
"203";"Justin_Duchscherer";"OAK";"Relief_Pitcher";75;190;29,28
"204";"Kiko_Calero";"OAK";"Relief_Pitcher";73;180;32,14
"205";"Chad_Gaudin";"OAK";"Relief_Pitcher";71;165;23,94
"206";"Lenny_DiNardo";"OAK";"Relief_Pitcher";76;195;27,45
"207";"Scott_Dunn";"OAK";"Relief_Pitcher";75;200;28,77
"208";"Huston_Street";"OAK";"Relief_Pitcher";72;190;23,58
"209";"Ron_Flores";"OAK";"Relief_Pitcher";71;190;27,56
"210";"Jay_Marshall";"OAK";"Relief_Pitcher";77;185;24,01
"211";"Marcus_McBeth";"OAK";"Relief_Pitcher";73;185;26,52
"212";"Jorge_Posada";"NYY";"Catcher";74;205;35,54
"213";"Wil_Nieves";"NYY";"Catcher";71;190;29,43
"214";"Andy_Phillips";"NYY";"First_Baseman";72;205;29,9
"215";"Doug_Mientkiewicz";"NYY";"First_Baseman";74;206;32,7
"216";"Josh_Phelps";"NYY";"First_Baseman";75;220;28,8
"217";"Miguel_Cairo";"NYY";"Second_Baseman";73;208;32,82
"218";"Robinson_Cano";"NYY";"Second_Baseman";72;170;24,36
"219";"Derek_Jeter";"NYY";"Shortstop";75;195;32,68
"220";"Alex_Rodriguez";"NYY";"Third_Baseman";75;210;31,59
"221";"Johnny_Damon";"NYY";"Outfielder";74;190;33,32
"222";"Bobby_Abreu";"NYY";"Outfielder";72;211;32,97
"223";"Hideki_Matsui";"NYY";"Outfielder";74;230;32,72
"224";"Melky_Cabrera";"NYY";"Outfielder";71;170;22,55
"225";"Kevin_Thompson";"NYY";"Outfielder";70;185;27,45
"226";"Jason_Giambi";"NYY";"Designated_Hitter";75;230;36,14
"227";"Mike_Mussina";"NYY";"Starting_Pitcher";74;185;38,23
"228";"Carl_Pavano";"NYY";"Starting_Pitcher";77;241;31,14
"229";"Andy_Pettitte";"NYY";"Starting_Pitcher";77;225;34,71
"230";"Darrell_Rasner";"NYY";"Starting_Pitcher";75;210;26,13
"231";"Jeff_Karstens";"NYY";"Starting_Pitcher";75;175;24,43
"232";"Humberto_Sanchez";"NYY";"Starting_Pitcher";78;230;23,76
"233";"Chien-Ming_Wang";"NYY";"Starting_Pitcher";75;200;26,92
"234";"Sean_Henn";"NYY";"Relief_Pitcher";76;215;25,85
"235";"Scott_Proctor";"NYY";"Relief_Pitcher";73;198;30,16
"236";"Brian_Bruney";"NYY";"Relief_Pitcher";75;226;25,03
"237";"Chris_Britton";"NYY";"Relief_Pitcher";75;278;24,21
"238";"T.J._Beam";"NYY";"Relief_Pitcher";79;215;26,51
"239";"Jose_Veras";"NYY";"Relief_Pitcher";77;230;26,36
"240";"Kyle_Farnsworth";"NYY";"Relief_Pitcher";76;240;30,88
"241";"Luis_Vizcaino";"NYY";"Relief_Pitcher";71;184;32,57
"242";"Mike_Myers";"NYY";"Relief_Pitcher";75;219;37,68
"243";"Mariano_Rivera";"NYY";"Relief_Pitcher";74;170;37,25
"244";"Ivan_Rodriguez";"DET";"Catcher";69;218;35,25
"245";"Vance_Wilson";"DET";"Catcher";71;190;33,95
"246";"Sean_Casey";"DET";"First_Baseman";76;225;32,66
"247";"Chris_Shelton";"DET";"First_Baseman";72;220;26,68
"248";"Omar_Infante";"DET";"Second_Baseman";72;176;25,18
"249";"Placido_Polanco";"DET";"Second_Baseman";70;190;31,39
"250";"Neifi_Perez";"DET";"Second_Baseman";72;197;33,74
"251";"Carlos_Guillen";"DET";"Shortstop";73;204;31,42
"252";"Ramon_Santiago";"DET";"Shortstop";71;167;27,5
"253";"Tony_Giarratano";"DET";"Shortstop";72;180;24,25
"254";"Brandon_Inge";"DET";"Third_Baseman";71;195;29,78
"255";"Craig_Monroe";"DET";"Outfielder";73;220;30
"256";"Magglio_Ordo?ez";"DET";"Outfielder";72;215;33,09
"257";"Curtis_Granderson";"DET";"Outfielder";73;185;25,96
"258";"Brent_Clevlen";"DET";"Outfielder";74;190;23,34
"259";"Marcus_Thames";"DET";"Outfielder";74;205;29,98
"260";"Gary_Sheffield";"DET";"Outfielder";72;205;38,28
"261";"Mike_Rabelo";"DET";"Designated_Hitter";73;200;27,12
"262";"Zach_Miner";"DET";"Starting_Pitcher";75;200;24,97
"263";"Jeremy_Bonderman";"DET";"Starting_Pitcher";74;210;24,34
"264";"Nate_Robertson";"DET";"Starting_Pitcher";74;215;29,49
"265";"Justin_Verlander";"DET";"Starting_Pitcher";77;200;24,02
"266";"Virgil_Vasquez";"DET";"Starting_Pitcher";75;205;24,73
"267";"Kenny_Rogers";"DET";"Starting_Pitcher";73;211;42,3
"268";"Mike_Maroth";"DET";"Starting_Pitcher";72;190;29,54
"269";"Fernando_Rodney";"DET";"Relief_Pitcher";71;208;29,95
"270";"Chad_Durbin";"DET";"Relief_Pitcher";74;200;29,24
"271";"Jason_Grilli";"DET";"Relief_Pitcher";77;210;30,3
"272";"Jose_Mesa";"DET";"Relief_Pitcher";75;232;40,77
"273";"Todd_Jones";"DET";"Relief_Pitcher";75;230;38,85
"274";"Joel_Zumaya";"DET";"Relief_Pitcher";75;210;22,31
"275";"Jordan_Tata";"DET";"Relief_Pitcher";78;220;25,44
"276";"Andrew_Miller";"DET";"Relief_Pitcher";78;210;21,78
"277";"Yorman_Bazardo";"DET";"Relief_Pitcher";74;202;22,64
"278";"Wilfredo_Ledezma";"DET";"Relief_Pitcher";76;212;26,11
"279";"Roman_Colon";"DET";"Relief_Pitcher";78;225;27,55
"280";"Edward_Campusano";"DET";"Relief_Pitcher";76;170;24,63
"281";"Rene_Rivera";"SEA";"Catcher";70;190;23,58
"282";"Kenji_Johjima";"SEA";"Catcher";72;200;30,73
"283";"Richie_Sexson";"SEA";"First_Baseman";80;237;32,17
"284";"Ben_Broussard";"SEA";"First_Baseman";74;220;30,43
"285";"Jose_Lopez";"SEA";"Second_Baseman";74;170;23,27
"286";"Jose_Vidro";"SEA";"Second_Baseman";71;193;32,51
"287";"Yuniesky_Betancourt";"SEA";"Shortstop";70;190;25,08
"288";"Oswaldo_Navarro";"SEA";"Shortstop";72;150;22,41
"289";"Adrian_Beltre";"SEA";"Third_Baseman";71;220;27,9
"290";"Raul_Ibanez";"SEA";"Outfielder";74;200;34,74
"291";"Jose_Guillen";"SEA";"Outfielder";71;190;30,79
"292";"Jeremy_Reed";"SEA";"Outfielder";72;185;25,71
"293";"Willie_Bloomquist";"SEA";"Outfielder";71;185;29,26
"294";"Adam_Jones";"SEA";"Outfielder";74;200;21,58
"295";"Ichiro_Suzuki";"SEA";"Outfielder";69;172;33,36
"296";"Mike_Morse";"SEA";"Outfielder";76;220;24,94
"297";"Felix_Hernandez";"SEA";"Starting_Pitcher";75;225;20,9
"298";"Ryan_Feierabend";"SEA";"Starting_Pitcher";75;190;21,52
"299";"Sean_White";"SEA";"Starting_Pitcher";76;195;25,85
"300";"Horacio_Ramirez";"SEA";"Starting_Pitcher";73;219;27,27
"301";"Cha_Baek";"SEA";"Starting_Pitcher";76;190;26,75
"302";"Miguel_Batista";"SEA";"Starting_Pitcher";73;197;36,03
"303";"Jeff_Weaver";"SEA";"Starting_Pitcher";77;200;30,52
"304";"Jarrod_Washburn";"SEA";"Starting_Pitcher";73;195;32,55
"305";"George_Sherrill";"SEA";"Relief_Pitcher";72;210;29,86
"306";"Julio_Mateo";"SEA";"Relief_Pitcher";72;177;29,58
"307";"J.J._Putz";"SEA";"Relief_Pitcher";77;220;30,02
"308";"Chris_Reitsma";"SEA";"Relief_Pitcher";77;235;29,16
"309";"Cesar_Jimenez";"SEA";"Relief_Pitcher";71;180;22,3
"310";"Eric_O'Flaherty";"SEA";"Relief_Pitcher";74;195;22,06
"311";"Jon_Huber";"SEA";"Relief_Pitcher";74;195;25,65
"312";"Jake_Woods";"SEA";"Relief_Pitcher";73;190;25,49
"313";"Sean_Green";"SEA";"Relief_Pitcher";78;230;27,86
"314";"Mark_Lowe";"SEA";"Relief_Pitcher";75;190;23,73
"315";"Josh_Paul";"TB";"Catcher";73;200;31,78
"316";"Dioner_Navarro";"TB";"Catcher";70;190;23,06
"317";"Shawn_Riggans";"TB";"Catcher";74;190;26,6
"318";"Ty_Wigginton";"TB";"First_Baseman";72;200;29,39
"319";"Brendan_Harris";"TB";"Second_Baseman";73;200;26,51
"320";"Jorge_Cantu";"TB";"Second_Baseman";73;184;25,08
"321";"Ben_Zobrist";"TB";"Shortstop";75;200;25,76
"322";"B.J._Upton";"TB";"Third_Baseman";75;180;22,52
"323";"Carl_Crawford";"TB";"Outfielder";74;219;25,57
"324";"Rocco_Baldelli";"TB";"Outfielder";76;187;25,43
"325";"Greg_Norton";"TB";"Outfielder";73;200;34,65
"326";"Elijah_Dukes";"TB";"Outfielder";74;220;22,68
"327";"Delmon_Young";"TB";"Outfielder";75;205;21,46
"328";"Jonny_Gomes";"TB";"Designated_Hitter";73;205;26,27
"329";"Edwin_Jackson";"TB";"Starting_Pitcher";75;190;23,47
"330";"Scott_Kazmir";"TB";"Starting_Pitcher";72;170;23,1
"331";"Casey_Fossum";"TB";"Starting_Pitcher";73;160;29,14
"332";"Jae_Seo";"TB";"Starting_Pitcher";73;215;29,77
"333";"J.P._Howell";"TB";"Starting_Pitcher";72;175;23,85
"334";"Tim_Corcoran";"TB";"Starting_Pitcher";74;205;28,88
"335";"Jason_Hammel";"TB";"Starting_Pitcher";78;200;24,49
"336";"James_Shields";"TB";"Starting_Pitcher";76;214;25,19
"337";"Brian_Stokes";"TB";"Starting_Pitcher";73;200;27,48
"338";"Juan_Salas";"TB";"Relief_Pitcher";74;190;28,31
"339";"Jeff_Ridgway";"TB";"Relief_Pitcher";75;180;26,54
"340";"Ruddy_Lugo";"TB";"Relief_Pitcher";70;205;26,77
"341";"Jae-Kuk_Ryu";"TB";"Relief_Pitcher";75;220;23,75
"342";"Chad_Orvella";"TB";"Relief_Pitcher";71;190;26,41
"343";"Dan_Miceli";"TB";"Relief_Pitcher";72;215;36,47
"344";"Seth_McClung";"TB";"Relief_Pitcher";78;235;26,06
"345";"Jon_Switzer";"TB";"Relief_Pitcher";75;191;27,55
"346";"Shawn_Camp";"TB";"Relief_Pitcher";73;200;31,28
"347";"Scott_Dohmann";"TB";"Relief_Pitcher";73;181;29,04
"348";"Jason_LaRue";"KC";"Catcher";71;200;32,95
"349";"John_Buck";"KC";"Catcher";75;210;26,65
"350";"Ryan_Shealy";"KC";"First_Baseman";77;240;27,5
"351";"Ross_Gload";"KC";"First_Baseman";72;185;30,9
"352";"Esteban_German";"KC";"Second_Baseman";69;165;29,09
"353";"Mark_Grudzielanek";"KC";"Second_Baseman";73;190;36,67
"354";"Angel_Sanchez";"KC";"Second_Baseman";74;185;23,44
"355";"Angel_Berroa";"KC";"Shortstop";72;175;29,09
"356";"Andres_Blanco";"KC";"Shortstop";70;155;22,89
"357";"Mark_Teahen";"KC";"Third_Baseman";75;210;25,48
"358";"Joey_Gathright";"KC";"Outfielder";70;170;25,84
"359";"David_DeJesus";"KC";"Outfielder";72;175;27,2
"360";"Shane_Costa";"KC";"Outfielder";72;220;25,22
"361";"Mitch_Maier";"KC";"Outfielder";74;210;24,67
"362";"Reggie_Sanders";"KC";"Outfielder";73;205;39,25
"363";"Emil_Brown";"KC";"Outfielder";74;200;32,17
"364";"Mike_Sweeney";"KC";"Designated_Hitter";75;225;33,61
"365";"John_Bale";"KC";"Starting_Pitcher";76;205;32,77
"366";"Luke_Hudson";"KC";"Starting_Pitcher";75;195;29,83
"367";"Scott_Elarton";"KC";"Starting_Pitcher";80;240;31,02
"368";"Odalis_Perez";"KC";"Starting_Pitcher";72;150;29,73
"369";"Gil_Meche";"KC";"Starting_Pitcher";75;200;28,48
"370";"Neal_Musser";"KC";"Starting_Pitcher";73;215;26,51
"371";"Brian_Bannister";"KC";"Starting_Pitcher";74;202;26
"372";"Zack_Greinke";"KC";"Starting_Pitcher";74;200;23,36
"373";"Jorge_De_La_Rosa";"KC";"Starting_Pitcher";73;190;25,9
"374";"Todd_Wellemeyer";"KC";"Relief_Pitcher";75;205;28,5
"375";"Jimmy_Gobble";"KC";"Relief_Pitcher";75;190;25,62
"376";"Joel_Peralta";"KC";"Relief_Pitcher";71;160;30,94
"377";"Ryan_Braun";"KC";"Relief_Pitcher";73;215;26,59
"378";"Joakim_Soria";"KC";"Relief_Pitcher";75;185;22,78
"379";"Ken_Ray";"KC";"Relief_Pitcher";74;200;32,26
"380";"David_Riske";"KC";"Relief_Pitcher";74;190;30,35
"381";"Octavio_Dotel";"KC";"Relief_Pitcher";72;210;33,26
"382";"Joe_Nelson";"KC";"Relief_Pitcher";74;185;32,35
"383";"Gerald_Laird";"TEX";"Catcher";74;220;27,3
"384";"Miguel_Ojeda";"TEX";"Catcher";74;190;32,08
"385";"Guillermo_Quiroz";"TEX";"Catcher";73;202;25,25
"386";"Chris_Stewart";"TEX";"Catcher";76;205;25,03
"387";"Mark_Teixeira";"TEX";"First_Baseman";75;220;26,89
"388";"Ian_Kinsler";"TEX";"Second_Baseman";72;175;24,69
"389";"Joaquin_Arias";"TEX";"Shortstop";73;160;22,44
"390";"Michael_Young";"TEX";"Shortstop";73;190;30,36
"391";"Hank_Blalock";"TEX";"Third_Baseman";73;200;26,27
"392";"Marlon_Byrd";"TEX";"Outfielder";72;229;29,5
"393";"Brad_Wilkerson";"TEX";"Outfielder";72;206;29,75
"394";"Sammy_Sosa";"TEX";"Outfielder";72;220;38,3
